FIELD_ADABAS,DESCRIPTOR,TYPE_ADABAS,ADABAS_LENGTH,DB2_TABLE,DB2_COLUMN,TYPE_DB2,DB2_LENGTH,MAPPING_NOTES
NUMB-SOCIO-PRINCIPAL,AA,Numeric,9.0,SOCIOS,NUMB_SOCIO_PRINCIPAL,NUMERIC(9,0),9,Primary Key
NOME-SOCIO-PRINCIPAL,AB,Character,40,SOCIOS,NOME_SOCIO_PRINCIPAL,CHAR(40),40,Member Full Name
DATA-CADASTRO,AC,Date,6,SOCIOS,DATA_CADASTRO,DATE,10,Registration Date - Format YYYY-MM-DD
PERIODICO-PAGAMENTO,AD,Periodic Group,N/A,SOCIOS_PAGAMENTO,N/A,Composite Table,N/A,Decomposed to 1:N relationship
  DATA-VENCIMENTO,AE,Date,6,SOCIOS_PAGAMENTO,DATA_VENCIMENTO,DATE,10,Due Date - 12 occurrences converted to rows
  VALR-MENSALIDADE,AF,Packed,6.2,SOCIOS_PAGAMENTO,VALR_MENSALIDADE,DECIMAL(6,2),6.2,Monthly Fee Value
  PAGAMENTO-OK,AG,Logical,1,SOCIOS_PAGAMENTO,PAGAMENTO_OK,CHAR(1),1,Payment Status (0=False,1=True)
CATG-SOCIO,BA,Integer,2,SOCIOS,CATG_SOCIO,SMALLINT,2,Category (1=Principal, 2=Dependent)
INDI-DIVIDA,BB,Logical,1,SOCIOS,INDI_DIVIDA,CHAR(1),1,Debt Indicator (0=No, 1=Yes)
DATA-BAIXA,CB,Date,6,SOCIOS,DATA_BAIXA,DATE,10,Contract End Date - Format YYYY-MM-DD
HORA-BAIXA,CC,Time,12,SOCIOS,HORA-BAIXA,TIME(0),8,Contract End Time - Format HH:MM:SS
OBSV-SOCIO,DA,Alphanumeric,500,SOCIOS,OBSV_SOCIO,VARCHAR(500),500,Member Observation Notes
SUPER1,S1,Super Descriptor,5,SOCIOS,N/A (Index),COMPOSITE INDEX,N/A,SUPER DESC: CATG-SOCIO + INDI-DIVIDA = INDEX IX_SOCIOS_SUPER1
