CAMPO_ADABAS,TIPO_ADABAS,TAMANHO_ADABAS,CAMPO_DB2,TIPO_DB2,TAMANHO_DB2,TABELA_DB2,OBRIGATORIO,OBSERVACOES
NUMB-SOCIO-PRINCIPAL,N,9.0,NUMB_SOCIO_PRINCIPAL,DECIMAL,9.0,SOCIOS,Sim,Chave primária da tabela SOCIOS
NOME-SOCIO-PRINCIPAL,C,40,NOME_SOCIO_PRINCIPAL,CHAR,40,SOCIOS,Sim,Nome completo do sócio
DATA-CADASTRO,D,6,DATA_CADASTRO,DATE,,SOCIOS,Sim,Data de cadastro formato YYYY-MM-DD
CATG-SOCIO,I,2,CATG_SOCIO,SMALLINT,,SOCIOS,Sim,"Categoria: 1=Principal, 2=Dependente"
INDI-DIVIDA,L,1,INDI_DIVIDA,SMALLINT,,SOCIOS,Sim,"Indicador: 1=Atrasada, 0=Em dia"
DATA-BAIXA,D,6,DATA_BAIXA,DATE,,SOCIOS,Não,Data de fim do contrato formato YYYY-MM-DD
HORA-BAIXA,T,12,HORA_BAIXA,TIME,,SOCIOS,Não,Hora de fim do contrato formato HH:MM:SS
OBSV-SOCIO,A,500,OBSV_SOCIO,VARCHAR,500,SOCIOS,Não,Observações sobre o sócio
PERIODICO-PAGAMENTO (Grupo Periódico),P,-,SEQ_PAGAMENTO,SMALLINT,,SOCIOS_PAGAMENTO,Sim,Sequencial do pagamento (1-12)
DATA-VENCIMENTO,D,6,DATA_VENCIMENTO,DATE,,SOCIOS_PAGAMENTO,Sim,Data de vencimento formato YYYY-MM-DD
VALR-MENSALIDADE,P,6.2,VALR_MENSALIDADE,DECIMAL,6.2,SOCIOS_PAGAMENTO,Sim,Valor da mensalidade
PAGAMENTO-OK,L,1,PAGAMENTO_OK,SMALLINT,,SOCIOS_PAGAMENTO,Sim,"Status de pagamento: 1=Pago, 0=Não pago"
SUPER1,B,-,IDX_SOCIOS_SUPER1,,,"SOCIOS (índice)",Sim,Índice composto CATG_SOCIO + INDI_DIVIDA
