Adabas Campo,Adabas Tipo,DB2 Tabela,DB2 Coluna,DB2 Tipo,Observacao
AA NUMB-SOCIO-PRINCIPAL,N 9.0,SOCIOS,NUMB_SOCIO_PRINCIPAL,DECIMAL(9 0),Chave primaria
AB NOME-SOCIO-PRINCIPAL,C 40,SOCIOS,NOME_SOCIO_PRINCIPAL,VARCHAR(40),
AC DATA-CADASTRO,D 6,SOCIOS,DATA_CADASTRO,DATE,Formato ISO YYYY-MM-DD
AE DATA-VENCIMENTO,D 6,SOCIOS_PAGAMENTO,DATA_VENCIMENTO,DATE,Tabela filha PE
AF VALR-MENSALIDADE,P 6.2,SOCIOS_PAGAMENTO,VALR_MENSALIDADE,DECIMAL(8 2),Tabela filha PE
AG PAGAMENTO-OK,L 1,SOCIOS_PAGAMENTO,PAGAMENTO_OK,CHAR(1),0/1
BA CATG-SOCIO,I 2,SOCIOS,CATG_SOCIO,SMALLINT,
BB INDI-DIVIDA,L 1,SOCIOS,INDI_DIVIDA,CHAR(1),0/1
CB DATA-BAIXA,D 6,SOCIOS,DATA_BAIXA,DATE,Nullable
CC HORA-BAIXA,T 12,SOCIOS,HORA_BAIXA,VARCHAR(5),Formato HH:MM
DA OBSV-SOCIO,A 500,SOCIOS,OBSV_SOCIO,VARCHAR(500),
S1 SUPER1,B 5,SOCIOS,IX_SOCIOS_SUPER1,INDEX,Indice CATG_SOCIO+INDI_DIVIDA
