Campo Adabas,Tipo Adabas,Tamanho,Campo DB2,Tipo DB2,Tabela DB2,Observacao
NUMB-SOCIO-PRINCIPAL,N,9,NUMB_SOCIO_PRINCIPAL,DECIMAL(9,0),SOCIO,Chave primaria
NOME-SOCIO-PRINCIPAL,C,40,NOME_SOCIO_PRINCIPAL,VARCHAR(40),SOCIO,
DATA-CADASTRO,D,6,DATA_CADASTRO,DATE,SOCIO,Formato YYYY-MM-DD
CATG-SOCIO,I,2,CATG_SOCIO,SMALLINT,SOCIO,Indice composto IX_SOCIO_SUPER1
INDI-DIVIDA,L,1,INDI_DIVIDA,CHAR(1),SOCIO,Y/N - Indice composto IX_SOCIO_SUPER1
DATA-BAIXA,D,6,DATA_BAIXA,DATE,SOCIO,
HORA-BAIXA,T,12,HORA_BAIXA,CHAR(5),SOCIO,Formato HH:MM
OBSV-SOCIO,A,500,OBSV_SOCIO,VARCHAR(500),SOCIO,Natural: OBSV-CLIENTE
SUPER1,B,5,,,,"Nao migrado; indice IX_SOCIO_SUPER1 (CATG_SOCIO, INDI_DIVIDA)"
PERIODICO-PAGAMENTO,PE,,SOCIO_PERIODICO_PAGAMENTO,,SOCIO_PERIODICO_PAGAMENTO,Tabela filha 1N
DATA-VENCIMENTO,D,6,DATA_VENCIMENTO,DATE,SOCIO_PERIODICO_PAGAMENTO,
VALR-MENSALIDADE,P,6.2,VALR_MENSALIDADE,DECIMAL(8,2),SOCIO_PERIODICO_PAGAMENTO,
PAGAMENTO-OK,L,1,PAGAMENTO_OK,CHAR(1),SOCIO_PERIODICO_PAGAMENTO,Y/N
,,,SEQ_OCORRENCIA,INTEGER,SOCIO_PERIODICO_PAGAMENTO,Ordem da ocorrencia no PE
,,,SOCIO_PERIODICO_ID,BIGINT,SOCIO_PERIODICO_PAGAMENTO,Surrogate key
